acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
3.06,-0.48,9.88,-0.25,0.61,-0.19,9.91,0.01,1.25,1.56,175.56
3.01,-0.02,9.92,-0.25,0.61,-0.15,9.87,-0.01,-0.63,1.30,172.42
1.99,-0.17,9.73,-0.25,0.61,-0.11,0.07,0.00,0.63,1.04,113.97
1.46,0.21,5.37,-0.25,0.61,-20.92,5.02,-3.33,-105.94,-0.52,83.73
-2.21,0.81,11.65,-0.25,0.61,20.52,10.04,-5.46,-19.43,-7.54,-126.46
1.39,1.97,10.01,-0.25,0.61,-20.91,3.74,3.27,249.49,-14.04,79.71
1.21,6.90,4.94,-0.25,0.61,-5.65,6.84,-1.01,-236.95,-12.22,69.49
3.12,1.74,9.14,-0.25,0.61,3.66,10.18,-3.80,37.61,-15.86,178.68
2.92,6.07,12.04,-0.25,0.61,6.93,16.66,-3.76,-24.45,-21.32,167.07
2.35,7.82,2.52,-0.25,0.61,18.95,20.62,-5.74,-104.68,-28.08,134.46
1.50,0.77,1.58,-0.25,0.61,6.26,20.60,-7.10,18.18,-35.88,85.75
1.45,19.07,4.37,-0.25,0.61,-4.72,20.45,-7.49,-31.34,-39.78,83.08
2.23,-0.38,1.78,-0.25,0.61,19.32,4.30,-7.36,-5.64,-34.32,127.93
1.74,-0.44,8.34,-0.25,0.61,-19.95,4.95,-7.06,76.48,-30.42,99.45
-1.74,1.21,14.35,-0.25,0.61,18.51,-0.14,-5.92,8.78,-30.42,-99.53
2.21,2.62,10.61,-0.25,0.61,-5.04,8.49,-4.49,57.04,-27.82,126.41
2.74,-1.49,6.71,-0.25,0.61,-5.77,9.81,-1.75,36.98,-26.52,156.81
2.99,-0.70,8.52,-0.25,0.61,-1.02,9.07,-0.53,24.45,-26.26,171.52
3.07,-0.83,7.99,-0.25,0.61,-0.57,9.94,0.11,2.51,-28.08,175.81
-3.04,-1.30,6.31,-0.25,0.61,0.10,9.99,0.07,-3.76,-33.54,-174.17
2.03,18.84,10.66,-0.25,0.61,0.61,10.12,-0.01,-0.63,-39.26,116.53
-2.87,-2.66,7.58,-0.25,0.61,-0.41,10.11,-0.01,0.00,-34.58,-164.35
-3.10,-1.24,7.77,-0.25,0.61,-0.19,9.87,0.00,0.00,-33.54,-177.82
-3.11,-1.16,7.17,-0.25,0.61,-0.19,9.87,0.00,-0.63,-37.18,-178.33
2.47,1.77,5.74,-0.25,0.61,-0.14,9.55,-0.01,-1.25,-38.22,141.66
-3.12,-1.30,7.95,-0.25,0.61,-0.39,9.83,0.00,-1.25,-36.66,-178.48
1.99,10.30,7.77,-0.25,0.61,-0.34,9.87,0.01,1.88,-39.26,114.27
-3.11,-1.30,7.84,-0.25,0.61,-0.38,9.87,0.01,0.63,-38.22,-178.37
1.93,14.24,8.19,-0.25,0.61,-0.19,9.87,0.00,1.25,-39.00,110.35
3.07,-0.64,7.63,-0.25,0.61,-0.15,9.83,-0.01,-0.63,-38.22,176.16
2.02,10.48,8.07,-0.25,0.61,-0.19,9.87,0.00,1.25,-38.74,115.99
2.22,6.13,7.90,-0.25,0.61,-0.23,9.91,0.00,-1.25,-38.48,127.45
2.41,3.89,7.84,-0.25,0.61,-0.19,9.83,-0.01,-0.63,-38.48,138.25
2.27,5.44,7.84,-0.25,0.61,-0.19,9.83,-0.01,-1.25,-38.74,130.29
2.21,6.46,7.94,-0.25,0.61,-0.23,9.91,-0.01,-0.63,-38.48,126.39
2.22,6.31,7.98,-0.25,0.61,-0.23,9.87,0.00,-0.63,-38.74,127.12
2.22,6.23,7.94,-0.25,0.61,-0.19,9.87,0.00,-1.88,-38.48,127.45
2.24,5.97,7.93,-0.25,0.61,-0.19,9.75,0.01,-0.63,-38.74,128.45
2.25,5.78,7.93,-0.25,0.61,-0.23,9.99,-0.01,-0.63,-38.48,129.02
2.26,5.71,7.92,-0.25,0.61,-0.19,9.83,0.01,0.63,-38.74,129.54
2.26,5.67,7.89,-0.25,0.61,-0.19,9.91,0.00,1.25,-38.74,129.51
2.25,5.71,7.89,-0.25,0.61,-0.23,9.87,-0.02,-1.25,-38.74,129.12
2.25,5.75,7.89,-0.25,0.61,-0.19,9.83,-0.01,-2.51,-38.48,129.18
2.25,5.82,7.93,-0.25,0.61,-0.23,9.91,0.00,-0.63,-38.48,128.85
2.25,5.78,7.89,-0.25,0.61,-0.19,9.83,0.00,-0.63,-38.48,129.03
2.25,5.78,7.89,-0.25,0.61,-0.23,9.83,0.01,0.63,-38.74,128.81
2.25,5.78,7.89,-0.25,0.61,-0.19,9.87,0.01,3.13,-38.48,129.06
2.25,5.78,7.89,-0.25,0.61,-0.19,9.95,0.01,0.63,-38.48,129.03
2.25,5.78,7.89,-0.25,0.61,-0.19,9.91,0.01,1.88,-38.74,129.03
2.25,5.82,7.89,-0.25,0.61,-0.23,9.83,-0.01,-1.88,-38.74,128.65
2.25,5.78,7.89,-0.25,0.61,-0.19,9.83,0.01,1.88,-38.74,129.03
