acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
0.02,-0.36,9.80,-0.32,9.81,-0.15,9.95,0.02,2.51,0.26,0.93
-0.01,-0.36,9.84,-0.32,9.77,-0.45,9.79,-0.01,-2.51,0.26,-0.84
0.04,-0.36,9.84,-0.35,9.73,0.03,9.91,-0.00,-1.25,0.26,2.20
0.02,-0.32,9.84,-0.32,9.85,-0.13,9.79,-0.01,0.63,0.26,1.12
0.04,-0.32,9.80,-0.35,9.85,-0.02,9.91,0.01,1.88,0.26,2.01
0.00,-0.32,9.80,-0.35,9.81,-0.34,9.91,0.01,0.63,0.26,0.18
0.03,-0.32,9.84,-0.35,9.77,-0.09,9.79,0.00,0.00,0.26,1.57
0.02,-0.32,9.84,-0.31,9.77,-0.10,9.91,0.00,0.63,0.52,1.20
-0.01,-0.36,9.77,-0.32,9.70,-0.40,9.91,0.01,-0.00,0.52,-0.51
0.03,-0.32,9.77,-0.32,9.74,-0.01,9.75,-0.01,0.00,0.52,1.83
0.03,-0.32,9.80,-0.28,9.85,-0.00,9.79,-0.01,-2.51,0.26,1.53
0.01,-0.36,9.77,-0.32,9.81,-0.16,9.91,0.01,0.63,0.52,0.84
-0.03,-0.32,9.73,-0.28,9.70,-0.59,9.63,-0.01,0.00,0.26,-1.93
0.02,-0.36,9.80,-0.31,9.81,-0.07,9.83,-0.02,-2.51,0.26,1.34
0.03,-0.32,9.77,-0.31,9.81,0.02,9.91,0.01,3.13,0.26,1.90
0.01,-0.32,9.73,-0.27,9.77,-0.21,9.83,0.01,0.63,0.26,0.30
-0.01,-0.32,9.73,-0.35,9.77,-0.43,9.75,-0.01,-0.63,0.26,-0.37
0.05,-0.32,9.73,-0.36,9.77,0.08,9.99,0.00,-1.88,0.52,2.61
-0.02,-0.32,9.65,-0.28,9.81,-0.44,9.75,-0.01,0.00,0.26,-1.11
0.01,-0.32,9.77,-0.36,9.81,-0.24,9.87,0.01,0.00,0.26,0.76
0.02,-0.36,9.73,-0.31,9.77,-0.08,9.95,0.00,1.25,0.26,1.20
0.04,-0.32,9.77,-0.31,9.81,0.07,9.83,0.01,1.88,0.52,2.24
-0.02,-0.28,9.69,-0.33,9.81,-0.52,9.79,-0.01,-0.63,0.26,-1.07
0.04,-0.32,9.73,-0.36,9.77,-0.02,9.87,-0.01,-1.25,0.52,2.09
0.02,-0.32,9.69,-0.31,9.74,-0.15,9.71,-0.01,-1.88,0.52,0.95
0.00,3.17,9.88,0.45,10.04,-0.53,9.79,-0.01,-1.25,0.52,0.10
0.03,-0.83,9.54,-0.34,9.61,0.14,9.87,-0.01,-2.51,2.08,1.78
0.08,-0.86,10.50,0.40,10.58,1.77,10.73,-0.19,-4.39,2.34,4.66
-0.26,0.44,10.91,-0.52,10.09,-3.90,10.79,-0.46,-5.64,2.86,-14.82
0.18,0.40,10.01,1.15,8.27,3.64,9.53,-0.93,-11.28,2.86,10.28
0.27,-0.23,8.46,-0.11,10.44,2.83,10.66,-1.42,-5.64,2.60,15.22
-0.12,-0.02,10.56,-0.87,11.23,-2.19,9.78,-1.08,-6.27,1.82,-6.77
0.22,-0.86,7.06,-1.58,8.22,0.13,11.53,-1.36,8.15,1.56,12.70
0.02,-0.31,8.91,-2.53,10.99,-2.66,10.05,-1.00,8.15,2.86,1.07
0.34,-1.15,10.60,-1.98,8.39,0.54,11.46,-0.89,-9.40,4.42,19.52
0.31,-0.86,10.61,1.13,10.29,6.57,12.38,-0.92,-16.30,4.68,17.53
-0.58,-5.73,8.53,-0.84,10.64,-5.76,10.66,-2.33,-16.30,3.90,-33.27
-0.09,-0.11,9.36,-0.54,11.42,-1.64,11.03,-2.32,-1.88,-0.52,-5.16
-0.37,0.97,9.46,-3.44,10.73,-10.91,10.76,-1.65,40.12,-0.78,-21.02
-0.10,-4.18,9.64,-2.77,10.01,-3.34,10.01,-0.20,6.27,-0.26,-5.97
0.08,-0.44,9.73,-0.09,9.71,0.77,9.68,0.02,2.51,1.56,4.34
0.11,-1.44,9.92,-0.18,10.16,1.25,8.96,-0.16,-10.66,2.08,6.32
0.17,-1.21,10.64,0.44,10.29,3.06,10.82,-0.56,-11.28,-0.26,9.90
0.03,-1.71,10.78,-2.65,11.16,-2.14,9.10,-0.29,18.18,0.00,1.67
-0.05,-0.34,10.18,0.45,10.29,0.23,10.15,0.06,1.25,-0.52,-2.80
-0.01,-0.27,9.91,-0.21,9.48,-0.33,9.87,0.01,1.88,-1.82,-0.74
-0.24,-0.22,10.40,0.15,9.64,-2.02,9.46,0.18,1.88,-2.60,-13.82
-0.02,0.30,8.77,-1.00,9.52,-1.57,9.25,0.55,5.64,-3.64,-1.05
-0.01,0.55,9.64,-1.70,10.51,-2.28,9.46,1.05,10.66,-2.60,-0.37
-0.16,-0.03,7.12,0.65,9.59,-0.72,9.80,1.42,-1.88,-0.78,-9.11
-0.13,-0.72,8.60,1.01,10.56,0.13,10.12,0.64,-3.76,-0.52,-7.54
0.05,-0.70,8.79,1.13,9.43,2.26,9.24,0.71,-5.01,-1.82,3.07
-0.25,-0.48,9.35,-1.22,9.14,-4.46,10.29,0.58,-3.76,-2.86,-14.10
0.02,-0.50,8.60,-1.02,9.29,-1.15,11.21,0.90,10.03,-4.94,1.39
-0.37,0.31,5.04,-1.38,9.93,-4.86,8.18,1.13,-43.88,-3.12,-21.02
0.66,-0.37,10.44,-0.55,11.01,9.93,14.33,2.06,-6.90,-2.60,37.90
0.58,-0.77,8.56,0.31,10.16,9.33,12.47,1.43,-57.67,-2.08,33.06
-0.55,-0.07,9.25,-0.09,9.71,-5.35,8.60,1.81,-4.39,-2.60,-31.33
0.35,0.14,8.99,-0.52,11.05,2.92,9.88,1.74,0.00,-4.16,20.18
0.12,1.12,9.28,-1.56,8.36,-2.17,11.24,1.48,11.91,-3.38,6.77
-0.29,0.10,8.05,-0.93,8.47,-5.00,10.47,2.29,-3.13,-3.64,-16.87
0.09,-0.18,9.21,-0.20,9.57,0.51,7.33,1.92,-0.63,-4.94,5.14
-0.41,0.42,10.27,-0.48,9.14,-7.97,14.60,2.34,11.91,-3.64,-23.28
-0.13,-1.17,8.40,0.06,7.19,-0.43,8.54,3.05,-1.25,-1.82,-7.26
0.87,-0.82,6.73,-0.97,9.39,14.22,14.69,2.22,-8.15,-0.78,49.71
0.23,0.69,9.89,1.25,8.85,4.88,11.56,1.95,-12.54,-0.78,13.12
0.14,0.43,8.96,1.41,11.11,3.35,11.17,0.75,-11.91,-2.34,8.24
-0.41,0.78,9.12,-0.28,11.52,-4.47,8.85,1.13,5.01,-3.12,-23.71
-0.46,1.19,4.69,-1.03,11.85,-5.55,8.30,1.34,7.52,-3.38,-26.44
-0.28,2.28,10.28,1.17,9.49,-1.82,9.11,1.23,9.40,-3.12,-16.03
-0.18,1.18,11.15,2.83,12.23,0.65,7.32,1.97,-0.00,0.78,-10.17
-0.11,1.14,10.80,4.79,9.77,5.76,11.31,1.19,-35.10,2.86,-6.23
0.08,1.49,11.26,0.93,11.57,1.69,11.52,0.01,35.73,2.08,4.80
0.06,-0.59,10.28,0.19,10.02,1.20,11.36,-0.69,-64.57,1.30,3.28
-0.19,0.25,9.29,-0.17,9.81,-2.27,10.10,-0.78,1.25,0.00,-10.78
-0.02,-0.52,9.50,-0.12,9.86,-0.18,10.07,-0.34,9.40,0.00,-1.22
0.06,-0.40,9.77,-0.22,9.74,0.43,9.88,0.01,-0.63,1.30,3.37
-0.09,-0.53,9.05,-0.47,9.01,-1.20,8.66,-0.09,-4.39,2.34,-5.04
-0.13,0.21,10.34,-0.87,9.83,-3.00,11.05,-0.38,-3.76,2.08,-7.69
0.13,0.78,9.87,-1.73,9.87,-1.32,10.24,-0.71,-5.64,1.56,7.70
0.18,0.22,8.99,-0.23,9.60,1.51,10.72,-0.62,3.76,1.82,10.30
-0.43,0.63,9.34,-1.88,9.72,-8.65,10.03,-0.57,-4.39,2.34,-24.87
-0.02,-0.47,10.36,1.40,9.44,2.05,9.79,-0.18,0.00,1.82,-1.18
0.33,-1.08,9.75,-1.64,9.36,1.39,10.76,-1.01,-3.13,1.30,18.74
0.33,-0.19,10.26,-0.15,9.55,3.68,11.17,-0.88,3.76,1.04,19.05
0.20,-0.47,10.40,-2.19,9.76,-0.82,9.55,-0.73,2.51,1.56,11.64
-0.22,0.48,10.72,0.30,9.16,-2.01,10.13,-0.69,-1.25,2.08,-12.81
0.34,1.07,9.57,1.11,9.81,5.51,11.34,-0.24,55.79,2.34,19.45
0.03,-0.98,9.04,-0.29,9.38,0.26,9.61,-1.08,-67.07,2.08,1.77
-0.10,-0.31,9.06,0.25,9.69,-0.54,9.59,-1.23,0.00,1.56,-5.89
0.34,0.10,9.70,-1.23,9.85,1.84,11.09,-1.05,3.76,1.82,19.31
