acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
-6.58,7.35,-6.58,7.36,-0.08,9.87,-0.01,0.63,41.86,41.63,-3.99
-6.47,7.39,-6.68,7.29,-0.23,9.87,-0.02,0.00,41.60,41.65,-1.32
-6.24,7.21,-6.06,7.24,0.43,9.55,0.50,-2.51,41.60,42.13,17.08
-6.43,7.46,-6.57,7.63,0.09,9.87,0.41,-1.25,41.60,41.25,7.73
-6.31,7.61,-6.43,7.56,0.12,9.91,0.28,-0.63,41.60,41.35,4.30
-6.47,7.72,-6.33,7.60,0.47,9.80,0.20,-2.51,41.60,42.47,16.88
-5.75,7.52,-6.52,7.33,-0.15,9.99,0.04,-3.13,41.60,42.30,16.61
-6.66,7.23,-6.53,7.44,-0.19,9.91,-0.05,-0.63,41.60,39.64,2.50
-7.12,7.19,-6.78,7.21,-0.26,9.87,-0.03,0.63,41.60,41.15,-5.16
-7.12,7.30,-6.63,7.36,-0.15,9.79,0.00,0.00,41.60,40.21,-0.90
-6.62,7.50,-6.36,7.52,0.19,9.87,-0.01,-0.63,41.86,40.85,4.75
-6.06,7.84,-6.10,7.76,0.58,9.84,-0.09,-3.13,41.60,41.75,20.67
-5.41,7.90,-5.84,7.92,0.70,9.84,-0.34,-5.01,41.60,41.16,30.14
-5.49,8.16,-5.66,8.18,1.19,9.76,-0.63,-6.27,41.86,41.91,37.39
-6.10,8.07,-6.10,7.79,0.88,10.08,-1.05,-10.66,41.86,43.40,48.86
-5.83,7.78,-5.52,8.04,1.09,9.92,-0.82,-5.01,41.86,39.83,31.60
-6.31,7.61,-5.31,7.78,0.86,9.64,-1.73,-8.15,41.60,37.32,43.06
-6.27,7.69,-6.66,7.55,0.12,9.71,-1.95,-5.64,41.86,42.89,30.68
-5.51,7.63,-6.36,7.23,0.60,9.00,-1.61,-3.76,41.60,47.10,25.85
-4.08,7.14,-6.49,7.64,-0.09,9.67,-2.35,-2.51,41.60,42.82,14.04
-4.88,6.72,-6.39,6.63,-0.65,9.19,-1.49,4.39,41.60,42.50,-28.72
