acc_top_x (m/s2),acc_top_y (m/s2),acc_bottom_x (m/s2),acc_bottom_y (m/s2),acc_cart_x (m/s2),acc_cart_y (m/s2),motor_vel (m/s),motor_acc (m/s2),potentiometer (deg),theta (deg),beta (deg)
66.05,7.90,5.98,7.91,-0.12,9.87,0.00,0.00,-37.70,-37.61,-0.68
5.55,7.44,5.73,7.45,-0.07,9.35,-0.02,-1.88,-37.96,-38.28,10.97
5.95,6.66,7.52,6.74,2.95,10.42,-0.16,-8.15,-37.96,-34.32,46.81
7.36,6.76,7.08,6.26,3.02,10.29,-0.55,-10.66,-38.22,-32.57,53.04
9.07,6.10,7.77,7.23,1.13,10.52,-0.65,-15.67,-37.96,-37.47,57.94
6.58,6.86,6.41,7.57,4.80,10.11,-2.01,-11.91,-38.22,-13.67,58.82
7.52,7.59,4.70,8.15,4.10,13.10,-2.03,45.13,-37.96,-6.18,-72.29
5.65,8.78,6.44,5.49,-6.49,7.23,-2.78,-57.67,-38.22,-99.53,81.96
7.53,6.36,4.91,7.47,18.14,13.12,-2.46,-5.64,-37.96,27.54,61.11
7.16,8.14,6.78,8.65,-8.38,8.65,-3.03,0.00,-37.96,-81.02,-44.10
6.64,6.16,2.78,5.72,-3.76,7.43,-2.30,9.40,-37.96,-40.38,-60.55
2.05,9.48,3.00,10.64,10.62,9.03,-2.58,0.63,-37.96,32.74,47.88
7.64,7.03,6.24,9.06,5.38,12.32,-1.72,6.27,-37.96,-6.61,-4.11
4.59,8.46,2.49,8.48,-2.22,8.82,-1.88,11.28,-37.96,-25.57,-56.86
6.09,10.25,4.07,10.32,-6.81,9.35,-0.85,11.91,-38.22,-53.85,-63.47
6.08,8.72,4.62,9.04,-3.79,8.13,-1.15,3.76,-37.96,-49.05,-42.91
5.62,8.30,3.59,8.12,-1.44,10.53,-0.77,6.27,-38.22,-27.20,-36.21
4.37,8.27,5.51,8.61,-2.26,10.10,-0.31,8.78,-37.96,-46.79,-47.54
7.28,7.73,6.44,7.45,0.04,10.31,-0.11,1.25,-37.96,-39.64,-6.71
3.91,8.00,5.44,7.96,-0.19,10.03,-0.01,0.00,-38.22,-38.20,-1.10
5.77,7.59,5.71,7.93,-0.11,9.51,0.01,-0.63,-37.96,-35.87,3.10
5.01,8.58,4.81,8.60,-1.59,9.62,0.05,2.51,-37.96,-38.21,-23.09
3.93,9.72,4.82,8.08,-1.92,10.18,0.38,5.01,-37.96,-45.26,-34.28
4.58,11.00,4.38,10.17,-1.68,11.38,1.02,18.81,-37.70,-31.99,-60.94
4.22,9.50,5.46,8.89,-0.92,10.25,1.22,13.16,-38.22,-39.42,-53.96
6.20,7.68,4.55,9.62,-9.13,9.56,2.24,5.01,-37.96,-64.53,-55.96
5.84,8.53,5.72,8.63,-4.53,14.82,1.82,11.91,-37.96,-50.26,-47.97
6.94,6.87,5.16,11.18,-20.58,5.96,2.56,1.25,-37.96,-93.24,-74.74
4.38,9.50,5.43,8.53,-4.56,8.98,2.18,1.25,-37.70,-62.42,-32.93
5.75,6.21,8.98,4.00,14.47,13.12,2.75,0.00,-37.96,-24.84,47.81
6.55,9.37,8.25,8.35,-0.48,11.07,2.80,53.91,-37.96,-50.60,-78.50
6.68,8.05,8.25,4.54,-20.23,3.61,2.02,-53.91,-37.96,-149.78,83.88
5.57,6.35,8.04,6.80,-2.08,7.41,2.17,-11.91,-37.96,-67.85,52.99
7.05,9.12,7.03,3.46,12.07,7.82,1.37,-62.06,-38.22,-21.97,83.97
